"ProcessName","Id","CPU(s)","MemMB","StartTime"
"com.docker.backend","19888","57.1","176.3","5/16/2026 6:37:56 PM"
"com.docker.backend","22860","3.1","57.7","5/16/2026 6:37:56 PM"
"com.docker.build","19912","0.9","37","5/16/2026 6:37:57 PM"
"Docker Desktop","4808","12","81.3","5/16/2026 6:37:57 PM"
"Docker Desktop","6052","16.8","117.6","5/16/2026 6:37:57 PM"
"Docker Desktop","9464","49.8","127","5/16/2026 6:37:58 PM"
"Docker Desktop","24008","0.6","51.2","5/16/2026 6:37:57 PM"
"docker-agent","436","0.6","40.8","5/16/2026 6:37:58 PM"
"docker-sandbox","12064","0","14.3","5/16/2026 6:37:57 PM"
"node","24252","584.9","737.3","5/16/2026 6:58:26 PM"
"ollama","26600","21.3","158.7","5/16/2026 8:05:30 PM"
"ollama app","12676","15.4","34.2","5/16/2026 8:05:29 PM"
"python","14864","13.6","14.4","5/16/2026 6:14:01 PM"
"python","15884","15.7","17.7","5/16/2026 6:13:47 PM"
"python","15948","15.3","20","5/16/2026 6:13:51 PM"
"python","16492","15.7","18.9","5/16/2026 6:13:53 PM"
"python","16928","25.8","214.1","5/16/2026 6:13:56 PM"
"python","17336","15.5","17.7","5/16/2026 6:13:49 PM"
"python","17816","14.3","14.5","5/16/2026 6:13:59 PM"
